movie_1,movie_2,movie_3,movie_4,movie_5,movie_6,movie_7,date,movie_watch,past_success
Pompeii,Cargo,Network,Dance Flick,Jack and Jill,American Graffiti,Kurtlar vadisi - Irak,2024-06-07,Loser,False
The Green Mile,Walk Hard: The Dewey Cox Story,Shutter Island,कृष,The Marine,For Greater Glory - The True Story of Cristiada,Stung,2024-06-07,The Medallion,False
The Empire Strikes Back,Pulse,Graduation Day,Slumdog Millionaire,The Cell,Saw V,Identity Thief,2024-06-07,Suspect Zero,False
Scary Movie 3,Dom Hemingway,Vera Drake,Skyfall,Daylight,Black Christmas,Howards End,2024-06-08,Saw,False
Set It Off,Call + Response,The Art of War,Silent Trigger,Drive Hard,Babe,The Libertine,2024-06-08,Mean Streets,False
The Hunger Games: Mockingjay - Part 1,Escape from Alcatraz,Big Fat Liar,Iron Man 3,Bienvenue chez les ch'tis,My Big Fat Greek Wedding,Broken Arrow,2024-06-08,The Terminal,True
City Island,Dance Flick,Speed 2: Cruise Control,300,Saw,Mr. Turner,Beer League,2024-06-08,The Station Agent,False
Mo' Better Blues,Chasing Mavericks,FearDotCom,The Evil Dead,Unleashed,Roadside,The Benchwarmers,2024-06-08,Wild Wild West,False
Echo Dr.,People I Know,Frozen,What the #$*! Do We (K)now!?,The Toxic Avenger,Lola rennt,Wall Street: Money Never Sleeps,2024-06-08,A Simple Plan,False
Out of the Furnace,An Inconvenient Truth,Get Hard,The Last Station,Smoke Signals,Gravity,The Yards,2024-06-09,Six-String Samurai,False
滿城盡帶黃金甲,The Wendell Baker Story,The Campaign,Eight Legged Freaks,Session 9,Wolves,Shark Night,2024-06-09,The Secret of Kells,False
Enter Nowhere,Highlander III: The Sorcerer,Wish I Was Here,Snitch,Anything Else,It's All Gone Pete Tong,Flight,2024-06-09,Dear Frankie,False
The Fan,Barry Lyndon,My Best Friend's Girl,Flipped,Quarantine,Enter the Dangerous Mind,Me and Orson Welles,2024-06-09,The Spectacular Now,False
Due Date,もののけ姫,Sorority Boys,September Dawn,Grace Unplugged,Secret in Their Eyes,Creature,2024-06-09,12 Rounds,False
A History of Violence,Wind Walkers,Children of Men,Brotherly Love,Black Knight,The Godfather: Part II,Dolphins and Whales: Tribes of the Ocean,2024-06-09,Legends of the Fall,False
Blood and Chocolate,The Incredible Burt Wonderstone,The Road to El Dorado,Windsor Drive,House Party 2,After,The Grudge 2,2024-06-10,Footloose,False
Inside Job,The Fan,Unfaithful,Ender's Game,Land of the Lost,Penguins of Madagascar,She's the Man,2024-06-10,Last Action Hero,False
வாலு,The Shadow,Julia,Heli,Gamer,Bulletproof Monk,Swelter,2024-06-10,Bandidas,False
Snakes on a Plane,The Cry of the Owl,The Wild Bunch,Strangerland,Mommie Dearest,Malevolence,Cedar Rapids,2024-06-10,Family Plot,False
The Devil's Double,Last I Heard,Body Double,Karachi se Lahore,Chariots of Fire,Boomerang,On Her Majesty's Secret Service,2024-06-10,The American,False
Enemy at the Gates,American Reunion,Adulterers,The Mudge Boy,Screwed,Spider,Das weisse Band,2024-06-10,The Frozen,False
The Cottage,Immortals,The Machinist,"Mystery, Alaska",Rize,Don McKay,The Apostle,2024-06-11,The Iceman,False
Ruby in Paradise,All Is Lost,Wonderland,Disaster Movie,The Hurricane,Stone Cold,1947: Earth,2024-06-11,The Face of an Angel,False
The Good German,City of Ghosts,Stoker,Spice World,Virgin Territory,Man on Fire,The Last Temptation of Christ,2024-06-11,Frailty,False
You Kill Me,Creature,Find Me Guilty,The Damned United,Frat Party,Something's Gotta Give,The King's Speech,2024-06-11,Six-String Samurai,False
Letters to God,The Walk,Tangled,Inglourious Basterds,The Velocity of Gary,The Royal Tenenbaums,Resident Evil: Extinction,2024-06-11,Show Me,True
Get Hard,Fort McCoy,Army of Darkness,The Adventures of Ford Fairlane,Doug's 1st Movie,Police Academy,Salvation Boulevard,2024-06-11,I Married a Strange Person!,False
RoboCop,Insidious: Chapter 3,Prince of Persia: The Sands of Time,The Smurfs 2,Just Visiting,Year One,Burlesque,2024-06-12,Insidious,False
For Love of the Game,Snake Eyes,Charlie St. Cloud,Spider-Man 3,Fiza,Morning Glory,Un monstre à Paris,2024-06-12,Roadside Romeo,False
The Horse Boy,Black Water Transit,Star Trek: The Motion Picture,Dabba,The Mothman Prophecies,Amores perros,Love in the Time of Cholera,2024-06-12,Beloved,False
The Big Lebowski,The Women,"Good bye, Lenin!",Capitalism: A Love Story,Premonition,Mr. & Mrs. Smith,Kickboxer: Vengeance,2024-06-12,Pride & Prejudice,False
"Ultramarines: A Warhammer 40,000 Movie",Paul Blart: Mall Cop,Network,Now You See Me 2,Stonewall,Zwartboek,Ex Machina,2024-06-12,Now You See Me,True
Return to Oz,Once Upon a Time in Mexico,The Sessions,Dead Poets Society,A Most Wanted Man,The Runaways,Commando,2024-06-12,Gone Girl,False
We Own the Night,Friday the 13th: A New Beginning,Latter Days,3 Strikes,Jersey Boys,The Blue Butterfly,Poltergeist,2024-06-13,Seven Psychopaths,False
Barry Munday,Quarantine,Chloe,Serbuan maut,Micmacs à tire-larigot,House at the End of the Street,Opal Dream,2024-06-13,The Roommate,False
Super Hybrid,Pirates of the Caribbean: Dead Man's Chest,The Legend of Hell's Gate: An American Conspiracy,The Curse of Downers Grove,The Naked Gun 2½: The Smell of Fear,Partition,Inspector Gadget,2024-06-13,The Valley of Decision,False
The Last Sin Eater,The Other End of the Line,The Best Man,American Psycho,Banshee Chapter,Conquest of the Planet of the Apes,Redbelt,2024-06-13,Hot Pursuit,False
Dylan Dog: Dead of Night,Rendition,Crying with Laughter,Philadelphia,Down Terrace,The Amazing Spider-Man,Perfect Cowboy,2024-06-13,Frailty,False
Harry Potter and the Goblet of Fire,Blackthorn,The Shipping News,Shall We Dance?,Casino Jack,Repo Man,Inherent Vice,2024-06-13,Contraband,False
Passchendaele,Burnt,10th & Wolf,Deterrence,Tiger Orange,White House Down,Close Encounters of the Third Kind,2024-06-14,Broken Arrow,False
Stealth,The Christmas Bunny,Freddy Got Fingered,The Transporter,Rejsen til Saturn,Stiff Upper Lips,The Naked Gun 33⅓: The Final Insult,2024-06-14,30 Minutes or Less,False
Miss Congeniality,Arlington Road,My All American,The Rundown,Mamma Mia!,Give Me Shelter,Another Earth,2024-06-14,Aloft,False
Lo imposible,The Girl with the Dragon Tattoo,The Spiderwick Chronicles,Blue Ruin,Snitch,Open Road,Driven,2024-06-14,Family Plot,False
Eraser,Nick and Norah's Infinite Playlist,Mr. Peabody & Sherman,Chain Reaction,Snow Angels,La migliore offerta,Red Tails,2024-06-14,A Most Wanted Man,False
Trash,Hearts in Atlantis,The Santa Clause,Keeping Up with the Steins,Love Stinks,22 Jump Street,Australia,2024-06-14,The Kids Are All Right,False
The Imitation Game,Yoga Hosers,The Hills Have Eyes II,Interview with the Vampire,My Sister's Keeper,Drag Me to Hell,New in Town,2024-06-15,Yesterday Was a Lie,False
The Death and Life of Bobby Z,VeggieTales: The Pirates Who Don't Do Anything,Diamonds Are Forever,American Psycho,投名狀,The Love Guru,Kung Fu Panda 3,2024-06-15,Stuart Little 2,False
She's the One,Brooklyn,Subway,Captain America: The Winter Soldier,28 Days,The Joneses,House of D,2024-06-15,Brick Mansions,False
All Is Lost,Tomorrowland,Grave Encounters,The Brothers,Rock of Ages,Lo imposible,Groundhog Day,2024-06-15,Identity,False
First Knight,Wall Street,Something's Gotta Give,Life During Wartime,All About Steve,Becoming Jane,The Monuments Men,2024-06-15,Q,False
The Grace Card,City By The Sea,In the Land of Blood and Honey,A Man Apart,Stiff Upper Lips,Running with Scissors,The Night Visitor,2024-06-15,Contraband,False
Nueve Reinas,Finding Forrester,The Dead Girl,功夫,The Constant Gardener,Rise of the Planet of the Apes,Wild Wild West,2024-06-16,Be Kind Rewind,False
Astérix aux Jeux Olympiques,Miracle,You Will Meet a Tall Dark Stranger,Passchendaele,Mean Streets,Remember the Titans,英雄,2024-06-16,Biutiful,False
Sweet Charity,Idle Hands,N-Secure,The Incredibles,Lincoln,La Bamba,Hot Rod,2024-06-16,Cheap Thrills,False
The Apparition,Brown Sugar,The Last Samurai,Jefferson in Paris,Philadelphia,The Tree of Life,Wrong Turn,2024-06-16,Cursed,False
A Walk Among the Tombstones,Truth or Dare,American Outlaws,Roll Bounce,Urban Legends: Final Cut,Jack Ryan: Shadow Recruit,Ex Machina,2024-06-16,Saw,False
Harley Davidson and the Marlboro Man,The Second Best Exotic Marigold Hotel,Ender's Game,He Got Game,"I Love You, Man",The Perfect Host,RoboCop 3,2024-06-16,The Mighty,False
Flight,Lucky Number Slevin,Love Ranch,16 Blocks,Bedazzled,Parental Guidance,The Whole Nine Yards,2024-06-17,12 Rounds,False
Bananas,Groundhog Day,The Three Musketeers,The Bodyguard,Return to the Blue Lagoon,Kindergarten Cop,Black Rain,2024-06-17,Split Second,False
That's My Boy,Rosemary's Baby,Noah,Beastmaster 2: Through the Portal of Time,Los cronocrímenes,Lethal Weapon 3,The Glass House,2024-06-17,The Hotel New Hampshire,False
Scary Movie 3,Glee: The Concert Movie,Megaforce,The Brave Little Toaster,The Da Vinci Code,Hugo,51 Birch Street,2024-06-17,The Debt,False
Night at the Museum: Battle of the Smithsonian,Jaws,Corpse Bride,Cinderella,Don Gato: El inicio de la pandilla,La veuve de Saint-Pierre,Bad Teacher,2024-06-17,"Fat, Sick & Nearly Dead",False
The Last Time I Committed Suicide,Attack the Block,Stir of Echoes,Sweet Home Alabama,Born to Fly: Elizabeth Streb vs. Gravity,Jumping the Broom,Julija in Alfa Romeo,2024-06-17,Love and Other Catastrophes,False
Little Women,The Poker House,The Fast and the Furious,Doogal,Deck the Halls,All Hat,Outbreak,2024-06-18,Please Give,False
Antwone Fisher,La chambre bleue,Brooklyn Rules,Legally Blonde,The Gambler,Un Plan parfait,Titan A.E.,2024-06-18,Soul Kitchen,False
Rise of the Guardians,The Eye,Black Snake Moan,You've Got Mail,Life During Wartime,The Guilt Trip,Alleluia! The Devil's Carnival,2024-06-18,From Justin to Kelly,False
Crimson Tide,The Break-Up,Bridesmaids,The Adventures of Ford Fairlane,The Verdict,Take the Lead,The Tailor of Panama,2024-06-18,Celebrity,False
Big Fat Liar,Alex & Emma,Central do Brasil,Star Wars: Episode II - Attack of the Clones,Cop Out,Aroused,Fish Tank,2024-06-18,Regression,False
In Her Line of Fire,Super,No Reservations,Maurice,The Claim,Ghost World,Lost in Translation,2024-06-18,Housefull,False
She's All That,The Secret,San Andreas,Super Troopers,Silent Hill: Revelation 3D,ராமானுஜன்,National Lampoon's Loaded Weapon 1,2024-06-19,The Spy Next Door,False
The Oxford Murders,Planet of the Apes,Click,The Helpers,The Boy in the Striped Pyjamas,Shrek 2,Ted,2024-06-19,Fugly,False
Limbo,Connie and Carla,Chernobyl Diaries,Rachel Getting Married,Decoys,The Wicked Within,A Million Ways to Die in the West,2024-06-19,"Run, Hide, Die",True
Hey Arnold! The Movie,Leap Year,Two Girls and a Guy,Dinner Rush,The Heart of Me,Tupac: Resurrection,Wild Wild West,2024-06-19,Burn After Reading,True
Unfriended,Lone Star,Hamlet 2,The Return of the Living Dead,Chairman of the Board,The Chronicles of Narnia: Prince Caspian,Muppets Most Wanted,2024-06-19,Red Dawn,False
Teacher's Pet,The Juror,The Cotton Club,Snake Eyes,The Black Dahlia,The Call of Cthulhu,The Legend of God's Gun,2024-06-19,Sleepers,False
The Squid and the Whale,La Guerre du feu,三城记,Alleluia! The Devil's Carnival,The Eclipse,The Jungle Book 2,Stitches,2024-06-20,괴물,False
Gremlins,House of D,The Marine 4: Moving Target,American Heist,Night at the Museum: Battle of the Smithsonian,Justin Bieber: Never Say Never,Country Strong,2024-06-20,Night at the Museum,False
From Russia with Love,Big Fish,Beverly Hills Cop III,Stolen,Mighty Joe Young,The Helix... Loaded,Raise the Titanic,2024-06-20,Ransom,True
"Guten Tag, Ramón",Swordfish,Boat Trip,Beavis and Butt-Head Do America,Saving Private Ryan,21 & Over,Last Holiday,2024-06-20,Into the Blue,False
Jerusalema,Hanna,Never Say Never Again,The Secret of Kells,Evil Dead II,The Man with the Golden Gun,Arbitrage,2024-06-20,Die Hard,False
Sgt. Bilko,Damnation Alley,Get Low,Persepolis,The Good Dinosaur,The Great Raid,Windsor Drive,2024-06-20,Up,False
The FP,The Guilt Trip,Fifty Dead Men Walking,There Be Dragons,Sheena,Star Wars: Clone Wars (Volume 1),The Fault in Our Stars,2024-06-21,A Man Apart,True
The Ring Two,Resident Evil: Apocalypse,Deuce Bigalow: European Gigolo,Love and Other Catastrophes,Steel,The Inkwell,Scream 4,2024-06-21,1947: Earth,False
Midnight Run,10 Days in a Madhouse,Imagine Me & You,Into the Blue,Green Zone,The November Man,Maze Runner: The Scorch Trials,2024-06-21,Penitentiary,False
Aloha,Girls Gone Dead,City of Ember,Enter Nowhere,Addicted,In the Bedroom,The Quiet American,2024-06-21,Harry Potter and the Order of the Phoenix,False
Trainwreck,Wimbledon,Kissing Jessica Stein,"Guten Tag, Ramón",High Noon,House of 1000 Corpses,Nine,2024-06-21,Punch-Drunk Love,False
Her Cry: La Llorona Investigation,The Lucky One,The Losers,Quartet,The Godfather,Steamboy,Far from Heaven,2024-06-21,Casino,False
The Adventures of Pluto Nash,Smokin' Aces,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,The Neverending Story,The Age of Adaline,George Washington,Finding Nemo,2024-06-22,On the Line,False
Speed 2: Cruise Control,Kill Bill: Vol. 1,Fish Tank,The Man from Snowy River,Yes,Broken Arrow,The Constant Gardener,2024-06-22,Just Go with It,False
"Dancer, Texas Pop. 81",The Amityville Horror,Inception,Song One,The Island,Dreamcatcher,Sherrybaby,2024-06-22,Aquamarine,False
Bless the Child,Nomad,Faith Connections,Darkness Falls,Gigli,The Campaign,Thunderbirds,2024-06-22,Delgo,False
Weekend,After.Life,Dawn Patrol,Ghost Ship,The Words,Tomorrow Never Dies,Jawbreaker,2024-06-22,The Manchurian Candidate,False
Donkey Punch,Lawrence of Arabia,A Room for Romeo Brass,Grown Ups 2,The Molly Maguires,Shutter,Elizabethtown,2024-06-22,Love and Other Catastrophes,False
Star Wars,Letters to Juliet,The Godfather: Part III,Freeheld,The Hobbit: An Unexpected Journey,The Brothers Grimm,Demonic,2024-06-23,The Cottage,False
Keeping the Faith,Ocean's Eleven,G-Force,Freakonomics,Tadpole,Capricorn One,Bleeding Hearts,2024-06-23,The Cottage,False
Trees Lounge,Batman v Superman: Dawn of Justice,Notes on a Scandal,Safety Not Guaranteed,Enter the Dangerous Mind,Letters from Iwo Jima,Alexander,2024-06-23,Midnight Cowboy,False
X-Men: Apocalypse,Crocodile Dundee in Los Angeles,The Newton Boys,London to Brighton,Promised Land,Zambezia,Need for Speed,2024-06-23,Broken Arrow,False
Spanglish,The Ladies Man,Les Choristes,Ride Along,The Tourist,Ramona and Beezus,Daybreakers,2024-06-23,Roadside Romeo,False
Buffalo '66,The Glimmer Man,Ant-Man,功夫,The Damned United,After.Life,Down to You,2024-06-23,The Legend of Zorro,False
The Lovers,The Skeleton Twins,Bran Nue Dae,Fight Valley,Hoodwinked!,The Hobbit: The Desolation of Smaug,There Will Be Blood,2024-06-24,Cloudy with a Chance of Meatballs 2,False
The Missing Person,Vals Im Bashir,Daybreakers,Epic Movie,Armored,A Beautiful Mind,Lincoln,2024-06-24,Show Me,False
28 Weeks Later,Lage Raho Munna Bhai,Død snø,He Got Game,Mercy Streets,Double Impact,Special,2024-06-24,Bring It On,False
The X Files,少林足球,Mystic River,This Means War,Shrek,Paranormal Activity 4,Frat Party,2024-06-24,The Glimmer Man,True
Chernobyl Diaries,Soul Food,Barbershop 2:  Back in Business,Nine,The History Boys,Black Snake Moan,Praia do Futuro,2024-06-24,Beginners,False
New Year's Eve,Big Momma's House 2,The Skeleton Key,Code Name: The Cleaner,Fantasia 2000,Beautiful Creatures,The Soloist,2024-06-24,Sanctuary: Quite a Conundrum,True
Blood Work,30 Days of Night,The Ghost Writer,The Lawnmower Man,Joe Somebody,Eight Legged Freaks,Catch-22,2024-06-25,Urban Legend,False
August Rush,Annie Get Your Gun,Hot Rod,Rise of the Guardians,The Gatekeepers,Welcome to Collinwood,You Only Live Twice,2024-06-25,The Happening,False
Black Nativity,The Fugitive,Cold Mountain,The Words,Illuminata,Austin Powers: The Spy Who Shagged Me,Khumba,2024-06-25,The Spy Next Door,True
Exodus: Gods and Kings,And Then Came Love,The Blair Witch Project,Doogal,The Way of the Gun,The Scorpion King,The Unborn,2024-06-25,Thr3e,False
The Order,The House of the Devil,Ride with the Devil,Indignation,Die Another Day,Ride Along 2,Big Fat Liar,2024-06-25,The Blue Bird,True
Identity Thief,The Spiderwick Chronicles,Act of Valor,The I Inside,The Informers,The Amazing Spider-Man 2,Takers,2024-06-25,A Most Wanted Man,False
The Punisher,Final Destination 3,Eden,The Time Traveler's Wife,The General's Daughter,Diamonds Are Forever,The Boat That Rocked,2024-06-26,Something Wicked,False
Fuel,Modern Times,Patch Adams,"Bright Lights, Big City",Lesbian Vampire Killers,White Oleander,Resident Evil: Extinction,2024-06-26,Extreme Movie,True
Gun Shy,Lords of London,The Lord of the Rings: The Fellowship of the Ring,Take Shelter,Gone in Sixty Seconds,Rush,The Dead Undead,2024-06-26,Things to Do in Denver When You're Dead,True
In the Land of Blood and Honey,The Call,Mary Poppins,Into the Woods,U-571,Opposite Sex,The Lost Skeleton of Cadavra,2024-06-26,Battleship,False
The Vow,Cinderella Man,My Beautiful Laundrette,For Your Eyes Only,シン・ゴジラ,Multiplicity,Évolution,2024-06-26,The End of the Affair,False
Raising Cain,Frat Party,We're No Angels,Bambi,Bon Cop Bad Cop,The Life of David Gale,The Tigger Movie,2024-06-26,Bizarre,False
Winnie the Pooh,Universal Soldier: The Return,You Again,Criminal Activities,Out of the Furnace,Beverly Hills Cop II,A Thin Line Between Love and Hate,2024-06-27,Match Point,False
The 13th Warrior,Major League,Envy,She's the Man,The Blues Brothers,Thor,Kill Bill: Vol. 2,2024-06-27,The Brothers Bloom,False
28 Days,The Saint,Like Mike,The Abyss,20 Dates,Madea's Witness Protection,Reds,2024-06-27,Shade,False
黃石的孩子,Ender's Game,The Past Is a Grotesque Animal,Cinco de Mayo: La Batalla,Along Came a Spider,Crocodile Dundee,Pontypool,2024-06-27,The Jacket,False
Tremors,Conspiracy Theory,Chain Letter,Amidst the Devil's Wings,Twister,Little Fockers,This Means War,2024-06-27,2016: Obama's America,False
Ghost Rider,Tim and Eric's Billion Dollar Movie,The Rules of Attraction,Underworld: Evolution,Modern Problems,Reno 911!: Miami,Three to Tango,2024-06-27,Frost/Nixon,False
Blackhat,Mean Creek,Freddy's Dead: The Final Nightmare,Hart's War,Man of Steel,Love and Other Catastrophes,GoldenEye,2024-06-28,Super,False
The Bridges of Madison County,Fair Game,Graduation Day,The Pallbearer,Fetching Cody,Sherrybaby,High Anxiety,2024-06-28,Faithful,False
Star Trek III: The Search for Spock,Rodeo Girl,Small Soldiers,Midnight Special,Stone Cold,"Sex, Lies, and Videotape",Left Behind,2024-06-28,Epic,False
Green Zone,Hollywood Homicide,Primary Colors,The Sting,The BFG,Far from Heaven,곡성,2024-06-28,Warlock,False
Archaeology of a Woman,Choke,The Innkeepers,Half Nelson,Warcraft,Slacker Uprising,The Last Samurai,2024-06-28,Sur le seuil,True
The Living Daylights,Hellboy II: The Golden Army,Ray,28 Days,Day of the Dead,Sugar Town,The Spectacular Now,2024-06-28,The American,False
Austin Powers: The Spy Who Shagged Me,Meet the Fockers,The Station Agent,Chocolate: Deep Dark Secrets,Only the Strong,Valkyrie,Roger & Me,2024-06-29,The Company,False
The Broadway Melody,Open Secret,All The Queen's Men,Paycheck,Le fabuleux destin d'Amélie Poulain,The Holiday,How to Deal,2024-06-29,Punch-Drunk Love,False
Arnolds Park,A Passage to India,The Nutcracker: The Untold Story,Spy Kids,Grown Ups 2,High Road,Finding Nemo,2024-06-29,Zoolander,True
Straight Outta Compton,Hope Floats,Dick Tracy,24 7: Twenty Four Seven,The Lizzie McGuire Movie,The Kentucky Fried Movie,Wild Target,2024-06-29,Fugly,False
Heaven's Gate,Wimbledon,Mao's Last Dancer,The Village,Quills,Out of Africa,Dancer in the Dark,2024-06-29,Taken,False
Serendipity,The Sisterhood of the Traveling Pants 2,Perfect Cowboy,New York Stories,Paranormal Activity: The Marked Ones,Spaceballs,Babylon A.D.,2024-06-29,Somewhere,False
Rejsen til Saturn,"Il buono, il brutto, il cattivo",1941,The Bone Collector,Velvet Goldmine,After Earth,Return of the Living Dead 3,2024-06-30,Oblivion,True
The Broadway Melody,Tremors,Casa de Areia,Ida,Le peuple migrateur,The Lake House,Scary Movie 5,2024-06-30,Malibu's Most Wanted,True
Thomas and the Magic Railroad,Kick-Ass,The Lost Skeleton of Cadavra,Casa de Areia,The Finest Hours,In & Out,Critical Care,2024-06-30,Super,False
The Deer Hunter,Loin des hommes,Ex Machina,Ghost Ship,"Ultramarines: A Warhammer 40,000 Movie",How to Lose Friends & Alienate People,The General's Daughter,2024-06-30,Mortal Kombat,False
Naturally Native,27 Dresses,Our Idiot Brother,Benji,Hoop Dreams,Finding Neverland,Bottle Rocket,2024-06-30,Loser,False
Red Planet,Two Lovers and a Bear,Thirteen Conversations About One Thing,Domino,Iraq for Sale: The War Profiteers,Dredd,Fugly,2024-06-30,Cheap Thrills,False
Fascination,The Manchurian Candidate,Dazed and Confused,My Cousin Vinny,Into the Wild,Double Jeopardy,Nirgendwo in Afrika,2024-07-01,Raymond Did It,False
Thumbsucker,Never Say Never Again,El secreto de sus ojos,Astérix aux Jeux Olympiques,Rollerball,Bananas,Quest for Camelot,2024-07-01,The Matador,False
All Hat,Hollow Man,The Grace Card,The Prince & Me,Sorority Row,Six Days Seven Nights,Cyrus,2024-07-01,Hudson Hawk,False
No Man's Land: The Rise of Reeker,The Fighter,Tsotsi,The Good Dinosaur,Brokeback Mountain,The Face of an Angel,A History of Violence,2024-07-01,Contraband,False
Drive,Four Lions,Martin Lawrence Live: Runteldat,Gremlins,Some Like It Hot,Black Rain,The Siege,2024-07-01,Urban Legend,False
The Glimmer Man,Emma,The Mortal Instruments: City of Bones,Bullet to the Head,The Wind That Shakes the Barley,"Jeff, Who Lives at Home",The Return of the Pink Panther,2024-07-01,Spun,True
How the Grinch Stole Christmas,That Thing You Do!,Lottery Ticket,Four Single Fathers,Detention of the Dead,The Artist,To Write Love on Her Arms,2024-07-02,My Name Is Bruce,False
Tales from the Crypt: Demon Knight,White Noise,Summer Catch,The Perks of Being a Wallflower,Megiddo: The Omega Code 2,Steppin: The Movie,The Greatest Show on Earth,2024-07-02,Irréversible,False
Lucky Break,Z 風暴,The Omen,"O Brother, Where Art Thou?",New Nightmare,Think Like a Man Too,The Way Way Back,2024-07-02,The Sorcerer's Apprentice,False
P.S. I Love You,A Walk Among the Tombstones,Unfriended,House at the End of the Street,Thinner,Snow White and the Seven Dwarfs,The Walk,2024-07-02,May,False
Letters from Iwo Jima,Mr. Smith Goes to Washington,The Christmas Candle,Paul Blart: Mall Cop 2,Snowpiercer,Das Boot,"María, llena eres de gracia",2024-07-02,Contraband,False
The Pursuit of D.B. Cooper,Pushing Tin,Snow Angels,Ghost Dog: The Way of the Samurai,Public Enemies,Sunday School Musical,Ouija,2024-07-02,After,False
The Skulls,Scott Walker: 30 Century Man,Little Shop of Horrors,The Forest,"Guten Tag, Ramón",Life as a House,Hotel Rwanda,2024-07-03,The Sweeney,False
Elizabeth: The Golden Age,Under the Skin,Street Kings,The Signal,Transformers: Dark of the Moon,The X Files,GirlHouse,2024-07-03,Taken,False
The 5th Quarter,One Man's Hero,Aliens in the Attic,Transformers: Revenge of the Fallen,"Dancer, Texas Pop. 81",Full Frontal,8 Days,2024-07-03,Nothing,False
From a Whisper to a Scream,Another Earth,Patriot Games,Mission: Impossible - Rogue Nation,J. Edgar,Kids,Snake Eyes,2024-07-03,The Blue Bird,False
Executive Decision,Coyote Ugly,Horse Camp,He's Just Not That Into You,Iron Man 3,Chloe,8 Days,2024-07-03,Irréversible,False
Valley of the Heart's Delight,Somewhere in Time,Joy Ride,15 Minutes,Michael Jordan to the Max,Something's Gotta Give,Rapa Nui,2024-07-03,Saw,False
Where the Truth Lies,Jade,Little Boy,The Last Time I Committed Suicide,Kiss of Death,Marley & Me,Caravans,2024-07-04,And So It Goes,False
Rocky,The Mighty,Bedtime Stories,Our Brand Is Crisis,Seven Psychopaths,Flight of the Phoenix,Final Fantasy: The Spirits Within,2024-07-04,Amigo,False
"Big Mommas: Like Father, Like Son",Free Birds,七人の侍,Blood Work,Perfume: The Story of a Murderer,Year One,The Perfect Wave,2024-07-04,Analyze This,False
The Valley of Decision,Idle Hands,The Firm,Mi America,The Social Network,一個好人,Truth or Dare,2024-07-04,The Good Guy,False
Devil's Due,Once Upon a Time in America,Carnage,Saving Face,Death Becomes Her,The Sisterhood of the Traveling Pants,Funny People,2024-07-04,The Guru,False
Cheap Thrills,The Beastmaster,Miracles from Heaven,Set It Off,Saving Private Ryan,Beetlejuice,The Alamo,2024-07-04,The Hateful Eight,False
ต้มยำกุ้ง,Troop Beverly Hills,Sphinx,The Descendants,El secreto de sus ojos,The Martian,Last Action Hero,2024-07-05,The Young Unknowns,False
R.L. Stine's Monsterville: The Cabinet of Souls,Clueless,Remember the Titans,Fast Times at Ridgemont High,Meet Joe Black,The Pallbearer,Nueve Reinas,2024-07-05,Yesterday Was a Lie,False
Mumford,The Proposition,Bowfinger,Into the Storm,Dirty Grandpa,The Rundown,Disturbing Behavior,2024-07-05,H.,True
The Naked Gun 2½: The Smell of Fear,Idlewild,For Colored Girls,Colombiana,Batman,Police Academy,Scarface,2024-07-05,Her,False
The Three Musketeers,The Libertine,The Woman in Black,Meet the Parents,The Color Purple,Hop,Prom Night,2024-07-05,Die Hard,True
Not Easily Broken,Orgazmo,Good Luck Chuck,The Company,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,Anne of Green Gables,Master and Commander: The Far Side of the World,2024-07-05,Maurice Richard,False
Kiss Kiss Bang Bang,Murder by Numbers,Contact,The Expendables,The Face of an Angel,Wicker Park,Dracula 2000,2024-07-06,The Fighter,True
28 Weeks Later,The Remains of the Day,The Dirties,Ramona and Beezus,What's the Worst That Could Happen?,Agent Cody Banks,E.T. the Extra-Terrestrial,2024-07-06,Trade,False
Khiladi 786,The Haunting in Connecticut 2: Ghosts of Georgia,Anything Else,"20,000 Leagues Under the Sea",The Postman,Hitch,Out of Time,2024-07-06,The Matador,False
Cold Mountain,Mrs Henderson Presents,Chain Reaction,Super Hybrid,Killer Joe,Armored,Pocketful of Miracles,2024-07-06,Half Past Dead,False
The Wash,Flight,College,Blast from the Past,Sparkle,Drumline,Beer League,2024-07-06,Everything Must Go,False
Sideways,L!fe Happens,Heli,Network,Crank: High Voltage,Urban Legend,Snake Eyes,2024-07-06,The Grace Card,False
Mrs Henderson Presents,Grace Unplugged,Breaking Upwards,Dragonslayer,Terminator Genisys,How to Lose a Guy in 10 Days,Deadpool,2024-07-07,The Spectacular Now,False
Aliens,Boyhood,The Incredible Burt Wonderstone,Saving Silverman,Bringing Out the Dead,Scary Movie 4,Goddess of Love,2024-07-07,The Conjuring,False
Marmaduke,Pirates of the Caribbean: At World's End,Poultrygeist: Night of the Chicken Dead,The Damned United,The Squid and the Whale,Super Hybrid,November,2024-07-07,괴물,False
Censored Voices,Mother and Child,Mommie Dearest,The Legend of God's Gun,For Love of the Game,A Time to Kill,Død snø,2024-07-07,The Reader,True
The Haunting,Turbulence,"Yours, Mine and Ours",Dylan Dog: Dead of Night,The SpongeBob Movie: Sponge Out of Water,Volver,The Haunting of Molly Hartley,2024-07-07,The Visit,True
